date,watch_minutes,num_sessions
2020-12-04,602.9833333333333,16
2020-12-05,75.96666666666667,2
2020-12-06,101.0,5
2020-12-07,208.4,9
2020-12-08,413.8333333333333,17
2020-12-12,155.95,7
2020-12-13,55.849999999999994,2
2020-12-14,187.14999999999998,7
2020-12-15,2.45,1
2020-12-16,109.95,5
2020-12-17,33.8,2
2020-12-22,61.11666666666667,4
2020-12-23,159.48333333333335,5
2020-12-24,109.5,9
2020-12-25,215.95,7
2020-12-26,377.8,13
2020-12-27,157.2,7
2020-12-28,124.9,8
2020-12-29,206.03333333333333,8
2020-12-30,153.8,7
2020-12-31,26.75,2
2021-01-01,119.05,4
2021-01-02,107.08333333333333,6
2021-01-05,78.10000000000001,2
2021-01-06,243.95000000000002,9
2021-01-07,63.766666666666666,4
2021-01-08,37.95,1
2021-01-09,130.35,7
2021-01-11,27.133333333333333,1
2021-01-15,110.60000000000001,5
2021-01-19,52.833333333333336,2
2021-01-20,130.51666666666665,6
2021-01-21,108.88333333333334,4
2021-01-22,439.76666666666665,8
2021-01-23,419.18333333333334,10
2021-01-24,240.3,10
2021-01-25,134.45,6
2021-01-26,94.35,5
2021-01-27,111.81666666666666,3
2021-01-28,230.4,9
2021-01-29,116.21666666666667,5
2021-02-01,545.4166666666666,11
2021-02-02,272.1666666666667,7
2021-02-03,141.46666666666667,3
2021-02-04,43.93333333333334,2
2021-02-05,43.86666666666667,2
2021-02-07,188.15,4
2021-02-08,318.43333333333334,5
2021-02-09,239.26666666666665,5
2021-02-10,463.33333333333337,9
2021-02-11,343.9,12
2021-02-12,82.76666666666667,5
2021-02-13,4.0,1
2021-02-15,143.58333333333331,3
2021-02-16,108.51666666666667,5
2021-02-17,123.68333333333334,2
2021-02-18,187.86666666666667,3
2021-02-19,64.66666666666667,2
2021-02-20,132.5,5
2021-02-22,66.11666666666666,2
2021-02-23,51.7,2
2021-03-04,5.15,1
2021-03-06,11.883333333333333,1
2021-03-12,177.41666666666666,6
2021-03-13,29.55,1
2021-03-16,18.516666666666666,2
2021-03-23,53.5,1
2021-03-24,55.233333333333334,1
2021-03-25,15.966666666666667,1
2021-03-26,101.6,1
2021-04-07,4.816666666666666,1
2021-04-15,9.033333333333333,1
2021-04-19,39.78333333333333,1
2021-04-20,45.81666666666667,1
2021-04-21,46.3,2
2021-04-23,29.9,1
2021-04-24,41.36666666666667,1
2021-04-25,12.45,1
2021-04-27,35.55,2
2021-04-28,109.58333333333333,9
2021-04-29,10.15,1
2021-04-30,7.0,1
2021-05-06,6.066666666666666,1
2021-05-07,10.666666666666666,1
2021-05-08,316.6333333333333,12
2021-05-09,75.58333333333333,3
2021-05-10,156.61666666666667,8
2021-05-11,217.70000000000002,9
2021-05-12,272.3833333333333,12
2021-05-13,128.1,5
2021-05-14,103.41666666666667,8
2021-05-15,124.1,7
2021-05-16,145.4,8
2021-05-17,117.63333333333333,7
2021-05-18,9.183333333333334,1
2021-05-19,17.15,1
2021-06-10,76.41666666666667,2
2021-06-11,16.583333333333332,1
2021-06-12,145.76666666666668,3
2021-06-13,9.766666666666667,1
2021-06-15,143.73333333333335,2
2021-06-17,94.19999999999999,2
2021-06-18,155.76666666666665,2
2021-06-19,222.35,4
2021-06-20,127.68333333333334,7
2021-06-21,341.25,8
2021-06-22,443.98333333333335,12
2021-06-23,318.23333333333335,11
2021-06-24,146.5,2
2021-06-25,146.86666666666667,1
2021-06-26,168.28333333333333,5
2021-06-27,202.33333333333334,8
2021-06-28,190.9,12
2021-06-29,179.7,8
2021-06-30,33.31666666666667,2
2021-07-01,64.03333333333333,3
2021-07-02,100.23333333333333,3
2021-07-05,40.96666666666667,5
2021-07-06,7.383333333333334,1
2021-08-09,11.816666666666666,2
2021-08-20,35.86666666666667,3
2021-08-25,81.2,3
2021-08-27,83.25,3
2021-09-12,5.416666666666667,1
2021-09-18,25.45,2
2021-09-19,37.46666666666667,2
2021-09-20,165.06666666666666,9
2021-09-21,19.183333333333334,1
2021-09-22,10.866666666666667,1
2021-09-30,122.4,5
2021-10-01,34.9,3
2021-10-02,7.016666666666667,1
2021-10-03,18.85,1
2021-10-04,17.65,1
2021-10-05,13.283333333333333,1
