date,step_count,active_energy_kcal,exercise_minutes,resting_hr_bpm,hrv_ms,sleep_hours
2022-10-24,7537.0,141.8,,,,
2022-10-25,2453.0,44.8,,,,
2022-10-26,3692.0,65.1,,,,
2022-10-27,2972.0,69.8,,,,
2022-10-28,8714.0,171.4,,,,
2022-10-29,12555.0,297.7,,,,
2022-10-30,2007.0,35.9,,,,
2022-10-31,2858.0,47.8,,,,
2022-11-01,1937.0,41.8,,,,
2022-11-02,6505.0,133.3,,,,
2022-11-03,3698.0,74.4,,,,
2022-11-04,7095.0,147.2,,,,
2022-11-05,1398.0,22.5,,,,
2022-11-06,1258.0,26.1,,,,
2022-11-07,3436.0,66.0,,,,
2022-11-08,2706.0,55.4,,,,
2022-11-09,7645.0,163.4,,,,
2022-11-10,4439.0,92.9,,,,
2022-11-11,7952.0,158.8,,,,
2022-11-12,1195.0,25.7,,,,
2022-11-13,6751.0,176.2,,,,
2022-11-14,3990.0,92.5,,,,
2022-11-15,4174.0,100.1,,,,
2022-11-16,7291.0,167.8,,,,
2022-11-17,1887.0,38.3,,,,
2022-11-18,14730.0,300.6,,,,
2022-11-19,3486.0,73.4,,,,
2022-11-20,8111.0,193.6,,,,
2022-11-21,7391.0,150.0,,,,
2022-11-22,1656.0,39.7,,,,
2022-11-23,7327.0,153.3,,,,
2022-11-24,2678.0,49.1,,,,
2022-11-25,6540.0,117.3,,,,
2022-11-26,2320.0,59.1,,,,
2022-11-27,7321.0,167.7,,,,
2022-11-28,3281.0,60.9,,,,
2022-11-29,4355.0,99.7,,,,
2022-11-30,4356.0,80.1,,,,
2022-12-01,3195.0,73.4,,,,
2022-12-02,1578.0,22.6,,,,
2022-12-03,154.0,0.6,,,,
2022-12-04,502.0,6.4,,,,
2022-12-05,2578.0,50.4,,,,
2022-12-06,12728.0,243.0,,,,
2022-12-07,14713.0,320.3,,,,
2022-12-08,2006.0,49.4,,,,
2022-12-09,3155.0,55.9,,,,
2022-12-10,4035.0,94.6,,,,
2022-12-11,1903.0,41.7,,,,
2022-12-12,3636.0,70.5,,,,
2022-12-13,3462.0,62.0,,,,
2022-12-14,7599.0,157.4,,,,
2022-12-15,3440.0,72.2,,,,
2022-12-16,10155.0,187.9,,,,
2022-12-17,3024.0,75.0,,,,
2022-12-18,8723.0,174.1,,,,
2022-12-19,8099.0,138.6,,,,
2022-12-20,4422.0,101.9,,,,
2022-12-21,4736.0,86.7,,,,
2022-12-22,5021.0,105.6,,,,
2022-12-23,6197.0,121.6,,,,
2022-12-24,4242.0,96.5,,,,
2022-12-25,9719.0,220.1,,,,
2022-12-26,4707.0,90.7,,,,
2022-12-27,2631.0,48.8,,,,
2022-12-28,5211.0,99.8,,,,
2022-12-29,10170.0,223.1,,,,
2022-12-30,4038.0,68.3,,,,
2022-12-31,4721.0,89.9,,,,
2023-01-01,686.0,6.7,,,,
2023-01-02,3221.0,72.7,,,,
2023-01-03,3820.0,84.3,,,,
2023-01-04,2908.0,63.6,,,,
2023-01-05,4203.0,109.9,,,,
2023-01-06,3327.0,69.5,,,,
2023-01-07,8960.0,192.0,,,,
2023-01-08,512.0,5.5,,,,
2023-01-09,4637.0,100.4,,,,
2023-01-10,5090.0,112.0,,,,
2023-01-11,9248.0,191.3,,,,
2023-01-12,6217.0,145.1,,,,
2023-01-13,11357.0,239.3,,,,
2023-01-14,1513.0,33.4,,,,
2023-01-15,927.0,10.1,,,,
2023-01-16,6758.0,141.2,,,,
2023-01-17,1689.0,30.2,,,,
2023-01-18,9671.0,220.9,,,,
2023-01-19,2997.0,89.7,,,,
2023-01-20,9659.0,231.8,,,,
2023-01-21,7283.0,160.9,,,,
2023-01-22,2683.0,58.3,,,,
2023-01-23,8413.0,185.3,,,,
2023-01-24,5835.0,134.4,,,,
2023-01-25,5241.0,95.4,,,,
2023-01-26,2535.0,67.9,,,,
2023-01-27,17984.0,391.4,,,,
2023-01-28,4848.0,100.5,,,,
2023-01-29,5374.0,126.2,,,,
2023-01-30,6409.0,126.5,,,,
2023-01-31,12724.0,262.9,,,,
2023-02-01,14203.0,313.2,,,,
2023-02-02,13620.0,338.9,,,,
2023-02-03,10399.0,251.6,,,,
2023-02-04,1340.0,4.3,,,,
2023-02-05,812.0,13.2,,,,
2023-02-06,1509.0,28.5,,,,
2023-02-07,774.0,10.3,,,,
2023-02-08,866.0,9.9,,,,
2023-02-09,4449.0,101.7,,,,
2023-02-10,6729.0,157.1,,,,
2023-02-11,484.0,6.6,,,,
2023-02-12,7481.0,157.7,,,,
2023-02-13,9133.0,215.2,,,,
2023-02-14,11086.0,269.0,,,,
2023-02-15,10922.0,227.2,,,,
2023-02-16,1462.0,29.6,,,,
2023-02-17,12154.0,286.9,,,,
2023-02-18,4156.0,85.2,,,,
2023-02-19,1351.0,24.0,,,,
2023-02-20,8909.0,165.9,,,,
2023-02-21,4551.0,102.5,,,,
2023-02-22,4988.0,107.2,,,,
2023-02-23,3774.0,79.4,,,,
2023-02-24,4164.0,90.1,,,,
2023-02-25,3348.0,82.0,,,,
2023-02-26,4240.0,113.1,,,,
2023-02-27,4913.0,108.1,,,,
2023-02-28,3618.0,87.4,,,,
2023-03-01,4995.0,120.9,,,,
2023-03-02,4130.0,98.1,,,,
2023-03-03,4884.0,96.6,,,,
2023-03-04,2899.0,77.0,,,,
2023-03-05,17174.0,407.4,,,,
2023-03-06,8251.0,194.3,,,,
2023-03-07,6081.0,137.5,,,,
2023-03-08,4409.0,100.6,,,,
2023-03-09,7181.0,210.0,,,,
2023-03-10,4499.0,100.8,,,,
2023-03-11,1921.0,49.7,,,,
2023-03-12,5337.0,109.9,,,,
2023-03-13,4252.0,104.2,,,,
2023-03-14,3969.0,83.9,,,,
2023-03-15,5577.0,129.5,,,,
2023-03-16,5506.0,128.7,,,,
2023-03-17,6340.0,123.9,,,,
2023-03-18,7688.0,182.5,,,,
2023-03-19,2338.0,70.0,,,,
2023-03-20,7157.0,182.5,,,,
2023-03-21,5957.0,135.8,,,,
2023-03-22,4679.0,104.9,,,,
2023-03-23,4411.0,98.8,,,,
2023-03-24,7424.0,188.3,,,,
2023-03-25,3182.0,67.8,,,,
2023-03-26,9221.0,200.0,,,,
2023-03-27,6737.0,153.9,,,,
2023-03-28,4718.0,111.4,,,,
2023-03-29,3727.0,84.5,,,,
2023-03-30,6724.0,153.8,,,,
2023-03-31,5005.0,183.0,2.0,67.0,56.71,
2023-04-01,13849.0,406.7,46.0,59.0,61.9,
2023-04-02,3557.0,196.3,1.0,59.0,66.52,
2023-04-03,9751.0,305.4,20.0,56.0,69.51,
2023-04-04,9959.0,388.4,15.0,59.0,70.4,
2023-04-05,9556.0,387.6,16.0,59.0,73.82,
2023-04-06,11365.0,416.8,26.0,64.0,63.68,
2023-04-07,10864.0,401.4,34.0,63.0,53.7,
2023-04-08,14850.0,457.7,51.0,62.0,61.66,
2023-04-09,20650.0,526.5,40.0,63.0,55.96,
2023-04-10,11644.0,428.2,19.0,67.0,72.2,
2023-04-11,9573.0,418.4,23.0,63.0,71.79,
2023-04-12,19372.0,424.0,24.0,63.0,48.94,
2023-04-13,16808.0,376.5,31.0,67.0,54.05,
2023-04-14,20091.0,486.5,68.0,72.0,55.09,
2023-04-15,26565.0,549.9,74.0,92.0,54.01,
2023-04-16,6699.0,377.2,22.0,63.0,58.03,
2023-04-17,8555.0,245.1,16.0,59.0,65.08,
2023-04-18,7469.0,249.8,7.0,60.0,58.75,
2023-04-19,13856.0,348.1,42.0,58.0,59.99,
2023-04-20,2975.0,183.2,,58.0,70.46,
2023-04-21,3543.0,167.2,10.0,60.0,69.7,
2023-04-22,14357.0,326.1,21.0,59.0,58.14,
2023-04-23,17127.0,450.5,36.0,54.0,66.16,
2023-04-24,14033.0,345.2,30.0,58.0,56.33,
2023-04-25,9774.0,355.7,20.0,59.0,45.48,
2023-04-26,15616.0,364.0,40.0,58.0,61.37,
2023-04-27,11507.0,353.1,21.0,62.0,58.17,
2023-04-28,19953.0,473.0,43.0,59.0,56.18,
2023-04-29,21487.0,499.4,75.0,58.0,69.86,
2023-04-30,4443.0,203.3,12.0,59.0,67.59,
2023-05-01,8217.0,218.5,19.0,59.0,69.25,
2023-05-02,18525.0,462.8,61.0,70.0,59.91,
2023-05-03,18905.0,414.5,49.0,59.0,66.41,
2023-05-04,9012.0,379.0,17.0,64.0,56.42,
2023-05-05,11755.0,216.7,27.0,66.0,44.95,
2023-05-06,9297.0,280.1,14.0,67.0,54.38,
2023-05-07,5250.0,266.5,10.0,63.0,66.45,
2023-05-08,3807.0,7.1,,,,
2023-05-09,7819.0,324.9,17.0,59.0,74.09,
2023-05-10,11568.0,341.9,41.0,63.0,53.55,
2023-05-11,8804.0,328.1,23.0,63.0,73.85,
2023-05-12,10382.0,331.2,23.0,63.0,57.08,
2023-05-13,14863.0,363.0,28.0,60.0,62.04,
2023-05-14,6833.0,257.4,15.0,59.0,65.39,
2023-05-15,10438.0,325.9,21.0,63.0,58.06,
2023-05-16,9496.0,278.2,14.0,59.0,61.64,
2023-05-17,19122.0,422.1,36.0,59.0,62.85,
2023-05-18,12123.0,373.2,24.0,59.0,47.26,
2023-05-19,29891.0,726.6,83.0,59.0,55.54,
2023-05-20,22170.0,659.5,63.0,58.0,46.34,
2023-05-21,32031.0,725.8,76.0,68.0,58.87,
2023-05-22,10537.0,203.3,16.0,58.0,106.67,
2023-05-23,4937.0,,,,,
2023-05-24,21286.0,477.1,47.0,64.0,60.21,
2023-05-25,7199.0,287.9,21.0,58.0,66.04,
2023-05-26,9139.0,249.5,17.0,53.0,68.68,
2023-05-27,1457.0,25.6,,53.0,101.17,
2023-05-28,870.0,,,,,
2023-05-29,27463.0,579.2,101.0,62.0,74.15,
2023-05-30,9670.0,286.0,16.0,54.0,81.52,
2023-05-31,10976.0,357.0,26.0,55.0,59.62,
2023-06-01,8886.0,266.3,16.0,56.0,61.94,
2023-06-02,10847.0,327.8,19.0,55.0,57.39,
2023-06-03,19681.0,382.9,48.0,52.0,39.59,
2023-06-04,951.0,,,,,
2023-06-05,6849.0,179.9,6.0,63.0,64.22,
